track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
40,Keep Up,"ATRIP, DJ BORING",7LWGTXRs0lnEPMVwoiWjFR,206111,,NO_DEDICATED_RADIO_title_search,,,
41,Talk nice,Effy,6i1D8BSUDo5WHIDvl9sMqp,138825,,NO_DEDICATED_RADIO_title_search,,,
42,Elm,Dusky,0wgC8RFkVlCV082J6E2Lfe,340402,37i9dQZF1E8My9FmQxlsYT,YES,24,24/340402*1M,71
43,FRIED,Surusinghe,1i527ye8rzBUSsb6o5OFpZ,75675,,NO_DEDICATED_RADIO_title_search,,,
44,Destructive Case (Radio Edit),CASE,4ODxqMeVCyQHBGH3JjvAdm,4970,,NO_DEDICATED_RADIO_title_search,,,
45,NUG46,Yung Singh,0ipdaEBRDxWIigU5PfSUlU,108404,,NO_DEDICATED_RADIO_title_search,,,
46,Mixed Emotions,Collect 200,27A97G7jTpRWeX3E4LpQEs,933680,,NO_DEDICATED_RADIO_title_search,,,
47,decay,amil raja,4GYZEN4NiA8IUdken1XdR7,120006,,NO_DEDICATED_RADIO_title_search,,,
48,I Need This,"DJ Motu, Douvelle19",6SNx0oU3Ize2VxGeGZtnbh,70908,,NO_DEDICATED_RADIO_title_search,,,
49,In My Room,Karen Nyame KG,6ahOTBFb6Oe1XESV2fLu53,41114,,NO_DEDICATED_RADIO_title_search,,,
50,Like It,"ANOTR, 3DDY",45k8qYkYZJ87ckRq3O3fVj,4403877,,NO_DEDICATED_RADIO_title_search,,,
51,Rise Up,"Maya Jane Coles, Rye Rye",0FWEux3aj0qlSnguvnYk6I,113833,,NO_DEDICATED_RADIO_title_search,,,
52,goodbye! later on!,altrice,1ljxYB9lQqJVM5N0gX39Ze,19822,,NO_DEDICATED_RADIO_title_search,,,
53,Birds Fly In,Oscar Farrell,7zd6tFDXAMgKngvTmI7gs2,90450,,NO_DEDICATED_RADIO_title_search,,,
54,Turn Back Time,"George Reid, AlunaGeorge",442bwi2jfJTT739AT4Hfde,294608,,NO_DEDICATED_RADIO_title_search,,,
55,KTM,Tatyana Jane,4anZARI5G18q74sWQf7vh6,7400,,NO_DEDICATED_RADIO_title_search,,,
56,Crazy,Debba,2XrzfABt9QdDE7kBSa3DRx,6500,,NO_DEDICATED_RADIO_title_search,,,
57,So High,"Melé, Jords, Wonky Logic",0S88gKHROhGvwPY9gtbCN2,294042,,NO_DEDICATED_RADIO_title_search,,,
58,Better,Baauer,28Fhf4E24Y4iZqQ09nOUJx,865572,,NO_DEDICATED_RADIO_title_search,,,
59,sometimes,"1-800 GIRLS, Art School Girlfriend",4akb3UnPEbDpUBc8JdQ5ED,143439,,NO_DEDICATED_RADIO_title_search,,,
60,If This Is It,"DJ Seinfeld, Dan Whitlam",71vkCMFohC2QD94tlyIGln,613463,,NO_DEDICATED_RADIO_title_search,,,
61,Over,Model Man,2LE78eBACgoZ7sPDiI5Baa,144023,,NO_DEDICATED_RADIO_title_search,,,
62,All Day,Jayda G,20uABzxxuEjNVbMYgHUPa6,475076,,NO_DEDICATED_RADIO_title_search,,,
63,Dreamz,Maya Jane Coles,5KJYdEEiPG8ePDia1FD1hm,62004,,NO_DEDICATED_RADIO_title_search,,,
64,Chor,"Indo Warehouse, Rashmeet Kaur, Kahani, Kunal Merchant",7maiSgBL2JC4icWRAemLHZ,145126,,NO_DEDICATED_RADIO_title_search,,,
65,LA PRIMA,"KINGH, SHY FX",1cgPykzXPyjjtIUpiT6Otp,301677,,NO_DEDICATED_RADIO_title_search,,,
